exp,learning context,id,Reaction time
0,PC,26113927880199200565234761728,0.725
0,PC,26475955286121301473729970176,0.75
0,PC,26501350863347397968869195776,0.6745000000000001
0,PC,26501887110197598715302117376,0.7535000000000001
0,PC,26511678199230000005572984832,0.8415
0,PC,26566004181895600950009135104,1.25
0,PC,26663488038463600871228833792,1.017
0,PC,26751014442242299050753785856,0.82
0,PC,26787671151060901606465732608,0.7
0,PC,26819801922433201464978440192,0.5145
0,PC,26821940765077698442782834688,1.3995
0,PC,26831503754014999019547262976,1.1909999999999998
0,PC,26834162439720600537661440000,0.889
0,PC,26841032319297301970344214528,0.832
0,PC,26854805599029998558277271552,1.0805
0,PC,26865941014467398806492151808,1.3155000000000001
0,PC,26875725892454698912267108352,0.777
0,PC,26916938880343301594617479168,0.8174999999999999
0,PC,26923864793043600841881157632,1.0579999999999998
0,PC,26944389699983701551544795136,0.7024999999999999
0,PC,26957199044609602011661336576,1.1465
0,PC,26957261267309799916737396736,1.1615000000000002
0,PC,26958869415798701356331565056,0.675
0,PC,26970743127844298500136239104,0.9215
0,PC,27007665018291902139638743040,0.8314999999999999
0,PC,27051074269551897951218958336,0.8645
0,PC,27063474310059001091054370816,1.093
0,PC,27117817796331298113391165440,0.777
0,PC,27126525049966599851988746240,1.1865
0,PC,27136047543675501401396477952,0.4585
0,PC,27143804243674698678234251264,0.7204999999999999
0,PC,27143906674701600096285360128,1.495
0,PC,27144843594957899454182588416,0.963
0,PC,27146276685877900673145634816,1.751
0,PC,27155118701157800315694612480,1.1925
0,PC,27161787260123600911897460736,0.727
0,PC,27177688633296401156341235712,1.2305000000000001
0,PC,27183505656842199537238933504,0.6565000000000001
0,PC,27187083168935898739430653952,1.732
0,PC,27191478249113201408974258176,1.3675000000000002
0,PC,27230794737124298876820389888,1.385
0,PC,27273715564844399337593110528,0.671
0,PC,27279284415189799731866894336,0.654
0,PC,27282162943689500252979593216,0.846
0,PC,27287233128429601461159067648,0.661
0,PC,27306015921498600605168435200,0.868
0,PC,27320910471160500814497185792,1.741
0,PC,27335850354607998264196202496,0.891
0,PC,27350713958336398107793686528,0.904
0,PC,27355415798764798596916183040,0.9015
0,PC,27369868183758299887841574912,1.3375
0,PC,27381320345345000876135153664,0.9245000000000001
0,PC,27387530559019400228669227008,1.0305
0,PC,27404652104631499703583768576,1.027
0,PC,27421950785719698106301284352,1.5115
0,PC,27429222454408300528333225984,0.6605000000000001
0,PC,27438527733092302104878383104,0.99
0,PC,27449760360904098431966904320,0.776
0,PC,27469026706412599088437526528,0.901
0,PC,27479702827043701176510971904,1.188
0,PC,27481678539080401560075763712,0.858
0,PC,27482566193851898581212987392,0.7505
0,PC,27497002308280701525401010176,0.8374999999999999
0,PC,27501412217703401346585067520,0.44
0,PC,27503703362691802009450840064,0.9475
0,PC,27518325231410602103676076032,0.8454999999999999
0,PC,27519571107968500847087714304,1.052
0,PC,27524728845817101505150320640,1.186
0,PC,27530450138461199990511370240,1.1320000000000001
0,PC,27533706077622001536161808384,1.4925
0,PC,27537170155238500498690539520,0.9565
0,PC,27556671135765602153000861696,0.638
0,PC,27578242769362199298271346688,0.688
0,PC,27578416189980101236225998848,0.925
0,PC,27580653705851598942511300608,0.956
0,PC,27587722610789401591415832576,1.32
0,PC,27605579435025700199942062080,1.075
0,PC,27605683122619600603470364672,1.4385
0,PC,27634092804688801965973438464,1.1115
0,PC,27638572474440898231075340288,0.785
0,PC,27639130259364798378440392704,1.042
0,PC,27639549765615999452532703232,0.879
0,PC,27642433526670298393027280896,1.101
0,PC,27643984788233799229887217664,0.497
0,PC,27650124595172199819691163648,0.9275
0,PC,27650138561942798084769579008,0.848
0,PC,27653678189607399642273677312,0.6575
0,PC,27653720788186197820841132032,0.823
0,PC,27658372674050500867567648768,1.6724999999999999
0,PC,27661466744572101966509899776,0.709
0,PC,27663116287869301475323674624,0.912
0,PC,27667559451466400600577540096,0.704
0,PC,27669788647510498268640444416,1.036
0,PC,27671317384829901733485346816,0.5595
0,PC,27672556124169400692682784768,0.653
0,PC,27675546841210401232110223360,0.669
0,PC,27677150685449898723693821952,0.7455
0,PC,27678813024368299009468530688,0.7905
0,PC,27686613733396300934810697728,0.872
0,PC,27689824145132598211064627200,1.137
0,PC,27689888035844602059303157760,0.841
0,PC,27689909284486897971178242048,0.7284999999999999
0,PC,27690505746602200584236826624,1.335
0,PC,27691964717765600820462616576,0.976
0,PC,27694586807375599892791558144,1.1835
0,PC,27695237633725600757652127744,1.2690000000000001
0,PC,27698065395035399024891920384,1.0725
0,PC,27699289490324901830015844352,0.845
0,PC,27700686567580999179766333440,0.758
0,PC,27700825678441099152232284160,1.8155000000000001
0,PC,27701478200288299719306772480,1.6205
0,PC,27704523298118900887261806592,0.47150000000000003
0,PC,27709014681408300044550930432,0.953
0,PC,27710486952323798253963313152,0.887
0,PC,27711205653626301494681665536,0.8154999999999999
0,PC,27712420388910100687259435008,0.4495
0,PC,27712689296926500612827250688,0.9615
0,PC,27713431220237601406720147456,0.6154999999999999
0,PC,27715207141373400679953989632,1.1
0,PC,27721792897442299077160075264,0.8035
0,PC,27722290876858000035320692736,0.859
0,PC,27723525971671199348663779328,0.8394999999999999
0,PC,27725507984175797818630340608,0.839
0,PC,27726538226948200399422619648,0.44
0,PC,27726781103499601300718354432,0.9735
0,PC,27727085598078400003957587968,1.734
0,PC,27729349885520899208025997312,0.5285
0,PC,27733177703727199423972769792,0.8565
0,PC,27735806654799001226015932416,1.031
0,PC,27736489513461299467660558336,1.133
0,PC,27737805194770399335372816384,0.81
0,PC,27754997316042498670011088896,0.8975
0,PC,27757473148521701161994027008,0.902
0,PC,27770878613611401049635028992,0.461
0,PC,27771256097354000922304315392,0.9964999999999999
0,PC,27771601128595001319964540928,0.7224999999999999
0,PC,27779606194816699579502690304,0.8049999999999999
0,PC,27782700189158699120635936768,0.6255
0,PC,27782950704411100101570723840,1.401
0,PC,27784081114883398470492749824,0.5535000000000001
0,PC,27784422286231100802000224256,0.7324999999999999
0,PC,27792570572505100719948300288,0.7255
0,PC,27795842421405800467504562176,0.849
0,PC,27799959621646400549541642240,1.0285
0,PC,27799993031712799799971414016,1.0675
0,PC,27800250408464800322336849920,1.445
0,PC,27801616568912901774235402240,0.6785000000000001
0,PC,27801644373574200739837771776,0.8125
0,PC,27801949733681401604717150208,1.068
0,PC,27802736543359699942138445824,0.7815000000000001
0,PC,27803549758740700213484191744,0.8005
0,PC,27803554708495801836879478784,1.44
0,PC,27803584371349497861594152960,0.862
0,PC,27805053901724101065001926656,1.1075
0,PC,27806835580500499884463357952,0.942
0,PC,27807640006116101394962317312,0.86
0,PC,27808175278457399261295280128,1.134
0,PC,27815615425585299130379403264,0.9335
0,PC,27822649557979698996644413440,0.606
0,PC,27824248686465101781236973568,0.82
0,PC,27828563426076099268417945600,0.9855
0,PC,27829925111797300094474125312,1.404
0,PC,27833952793506199782801014784,0.54
0,PC,27853402635574298503744061440,0.427
0,PC,27854741050903798593924104192,0.939
0,PC,27855862830643000114310807552,0.849
0,PC,27863963020298899093190606848,0.9724999999999999
0,PC,27865169972857400159471927296,0.726
0,PC,27870301868259901699862298624,1.203
0,PP,26113927880199200565234761728,0.5694999999999999
0,PP,26475955286121301473729970176,0.7895000000000001
0,PP,26501350863347397968869195776,0.715
0,PP,26501887110197598715302117376,0.8905000000000001
0,PP,26511678199230000005572984832,0.78
0,PP,26566004181895600950009135104,1.3090000000000002
0,PP,26663488038463600871228833792,0.917
0,PP,26751014442242299050753785856,0.7885
0,PP,26787671151060901606465732608,0.675
0,PP,26819801922433201464978440192,0.497
0,PP,26821940765077698442782834688,1.228
0,PP,26831503754014999019547262976,1.006
0,PP,26834162439720600537661440000,0.812
0,PP,26841032319297301970344214528,0.3925
0,PP,26854805599029998558277271552,1.076
0,PP,26865941014467398806492151808,0.528
0,PP,26875725892454698912267108352,0.774
0,PP,26916938880343301594617479168,0.849
0,PP,26923864793043600841881157632,1.087
0,PP,26944389699983701551544795136,0.6094999999999999
0,PP,26957199044609602011661336576,1.141
0,PP,26957261267309799916737396736,0.8325
0,PP,26958869415798701356331565056,0.6365000000000001
0,PP,26970743127844298500136239104,0.875
0,PP,27007665018291902139638743040,0.972
0,PP,27051074269551897951218958336,0.453
0,PP,27063474310059001091054370816,0.8634999999999999
0,PP,27117817796331298113391165440,0.5894999999999999
0,PP,27126525049966599851988746240,1.3245
0,PP,27136047543675501401396477952,0.5760000000000001
0,PP,27143804243674698678234251264,0.8425
0,PP,27143906674701600096285360128,1.3675000000000002
0,PP,27144843594957899454182588416,0.9735
0,PP,27146276685877900673145634816,1.2770000000000001
0,PP,27155118701157800315694612480,1.303
0,PP,27161787260123600911897460736,1.0915
0,PP,27177688633296401156341235712,1.0545
0,PP,27183505656842199537238933504,0.791
0,PP,27187083168935898739430653952,1.437
0,PP,27191478249113201408974258176,1.2645
0,PP,27230794737124298876820389888,1.4005
0,PP,27273715564844399337593110528,0.6415
0,PP,27279284415189799731866894336,0.7835000000000001
0,PP,27282162943689500252979593216,0.7815000000000001
0,PP,27287233128429601461159067648,0.696
0,PP,27306015921498600605168435200,0.912
0,PP,27320910471160500814497185792,1.1455
0,PP,27335850354607998264196202496,0.8765000000000001
0,PP,27350713958336398107793686528,0.7255
0,PP,27355415798764798596916183040,0.914
0,PP,27369868183758299887841574912,1.278
0,PP,27381320345345000876135153664,1.1480000000000001
0,PP,27387530559019400228669227008,1.2535
0,PP,27404652104631499703583768576,1.15
0,PP,27421950785719698106301284352,1.392
0,PP,27429222454408300528333225984,0.8875
0,PP,27438527733092302104878383104,1.2025000000000001
0,PP,27449760360904098431966904320,1.347
0,PP,27469026706412599088437526528,0.706
0,PP,27479702827043701176510971904,1.2155
0,PP,27481678539080401560075763712,1.046
0,PP,27482566193851898581212987392,0.7435
0,PP,27497002308280701525401010176,0.775
0,PP,27501412217703401346585067520,0.4105
0,PP,27503703362691802009450840064,0.8225
0,PP,27518325231410602103676076032,0.822
0,PP,27519571107968500847087714304,0.918
0,PP,27524728845817101505150320640,1.0405
0,PP,27530450138461199990511370240,1.4735
0,PP,27533706077622001536161808384,1.4685000000000001
0,PP,27537170155238500498690539520,0.7605
0,PP,27556671135765602153000861696,0.6145
0,PP,27578242769362199298271346688,0.786
0,PP,27578416189980101236225998848,0.872
0,PP,27580653705851598942511300608,0.905
0,PP,27587722610789401591415832576,1.4505
0,PP,27605579435025700199942062080,1.6284999999999998
0,PP,27605683122619600603470364672,1.325
0,PP,27634092804688801965973438464,1.275
0,PP,27638572474440898231075340288,0.818
0,PP,27639130259364798378440392704,1.0105
0,PP,27639549765615999452532703232,0.95
0,PP,27642433526670298393027280896,0.7675000000000001
0,PP,27643984788233799229887217664,0.4975
0,PP,27650124595172199819691163648,0.8745
0,PP,27650138561942798084769579008,0.858
0,PP,27653678189607399642273677312,0.598
0,PP,27653720788186197820841132032,0.8175
0,PP,27658372674050500867567648768,1.3719999999999999
0,PP,27661466744572101966509899776,0.611
0,PP,27663116287869301475323674624,0.7595000000000001
0,PP,27667559451466400600577540096,0.616
0,PP,27669788647510498268640444416,1.5925
0,PP,27671317384829901733485346816,0.6465000000000001
0,PP,27672556124169400692682784768,0.621
0,PP,27675546841210401232110223360,0.6815
0,PP,27677150685449898723693821952,0.8220000000000001
0,PP,27678813024368299009468530688,0.871
0,PP,27686613733396300934810697728,0.9495
0,PP,27689824145132598211064627200,1.0445
0,PP,27689888035844602059303157760,0.914
0,PP,27689909284486897971178242048,0.7545
0,PP,27690505746602200584236826624,1.181
0,PP,27691964717765600820462616576,0.527
0,PP,27694586807375599892791558144,1.2395
0,PP,27695237633725600757652127744,1.2435
0,PP,27698065395035399024891920384,0.8065
0,PP,27699289490324901830015844352,0.61
0,PP,27700686567580999179766333440,0.6995
0,PP,27700825678441099152232284160,2.1045
0,PP,27701478200288299719306772480,1.1435
0,PP,27704523298118900887261806592,0.431
0,PP,27709014681408300044550930432,0.808
0,PP,27710486952323798253963313152,0.8155
0,PP,27711205653626301494681665536,0.8055
0,PP,27712420388910100687259435008,0.4005
0,PP,27712689296926500612827250688,0.944
0,PP,27713431220237601406720147456,0.6405000000000001
0,PP,27715207141373400679953989632,0.857
0,PP,27721792897442299077160075264,0.8065
0,PP,27722290876858000035320692736,0.9684999999999999
0,PP,27723525971671199348663779328,0.682
0,PP,27725507984175797818630340608,0.8160000000000001
0,PP,27726538226948200399422619648,0.518
0,PP,27726781103499601300718354432,0.9675
0,PP,27727085598078400003957587968,1.918
0,PP,27729349885520899208025997312,0.504
0,PP,27733177703727199423972769792,0.765
0,PP,27735806654799001226015932416,0.9
0,PP,27736489513461299467660558336,1.4525000000000001
0,PP,27737805194770399335372816384,0.8919999999999999
0,PP,27754997316042498670011088896,0.9704999999999999
0,PP,27757473148521701161994027008,0.7244999999999999
0,PP,27770878613611401049635028992,0.9804999999999999
0,PP,27771256097354000922304315392,0.8525
0,PP,27771601128595001319964540928,0.653
0,PP,27779606194816699579502690304,0.874
0,PP,27782700189158699120635936768,0.753
0,PP,27782950704411100101570723840,1.162
0,PP,27784081114883398470492749824,0.5814999999999999
0,PP,27784422286231100802000224256,0.8374999999999999
0,PP,27792570572505100719948300288,0.6805
0,PP,27795842421405800467504562176,0.9964999999999999
0,PP,27799959621646400549541642240,0.9359999999999999
0,PP,27799993031712799799971414016,1.4285
0,PP,27800250408464800322336849920,1.2955
0,PP,27801616568912901774235402240,0.837
0,PP,27801644373574200739837771776,0.7885
0,PP,27801949733681401604717150208,1.0065
0,PP,27802736543359699942138445824,0.8174999999999999
0,PP,27803549758740700213484191744,1.0035
0,PP,27803554708495801836879478784,1.0859999999999999
0,PP,27803584371349497861594152960,0.835
0,PP,27805053901724101065001926656,0.9984999999999999
0,PP,27806835580500499884463357952,0.835
0,PP,27807640006116101394962317312,0.806
0,PP,27808175278457399261295280128,0.901
0,PP,27815615425585299130379403264,0.905
0,PP,27822649557979698996644413440,0.527
0,PP,27824248686465101781236973568,0.8414999999999999
0,PP,27828563426076099268417945600,0.6815
0,PP,27829925111797300094474125312,1.6724999999999999
0,PP,27833952793506199782801014784,0.4075
0,PP,27853402635574298503744061440,0.4635
0,PP,27854741050903798593924104192,0.947
0,PP,27855862830643000114310807552,0.772
0,PP,27863963020298899093190606848,0.9435
0,PP,27865169972857400159471927296,0.678
0,PP,27870301868259901699862298624,1.1515
0,RC,26113927880199200565234761728,0.6565000000000001
0,RC,26475955286121301473729970176,0.752
0,RC,26501350863347397968869195776,0.629
0,RC,26501887110197598715302117376,0.763
0,RC,26511678199230000005572984832,0.9215
0,RC,26566004181895600950009135104,1.1404999999999998
0,RC,26663488038463600871228833792,0.7024999999999999
0,RC,26751014442242299050753785856,0.79
0,RC,26787671151060901606465732608,0.732
0,RC,26819801922433201464978440192,0.4985
0,RC,26821940765077698442782834688,1.3895
0,RC,26831503754014999019547262976,1.2825
0,RC,26834162439720600537661440000,1.1
0,RC,26841032319297301970344214528,0.6990000000000001
0,RC,26854805599029998558277271552,1.0755
0,RC,26865941014467398806492151808,0.78
0,RC,26875725892454698912267108352,0.658
0,RC,26916938880343301594617479168,0.7805
0,RC,26923864793043600841881157632,1.346
0,RC,26944389699983701551544795136,0.526
0,RC,26957199044609602011661336576,1.162
0,RC,26957261267309799916737396736,0.847
0,RC,26958869415798701356331565056,0.7055
0,RC,26970743127844298500136239104,0.874
0,RC,27007665018291902139638743040,0.826
0,RC,27051074269551897951218958336,0.8049999999999999
0,RC,27063474310059001091054370816,1.3595000000000002
0,RC,27117817796331298113391165440,0.5075000000000001
0,RC,27126525049966599851988746240,1.2639999999999998
0,RC,27136047543675501401396477952,0.835
0,RC,27143804243674698678234251264,1.127
0,RC,27143906674701600096285360128,1.4415
0,RC,27144843594957899454182588416,0.9575
0,RC,27146276685877900673145634816,1.008
0,RC,27155118701157800315694612480,1.1515
0,RC,27161787260123600911897460736,0.542
0,RC,27177688633296401156341235712,1.1135000000000002
0,RC,27183505656842199537238933504,0.7295
0,RC,27187083168935898739430653952,2.3735
0,RC,27191478249113201408974258176,1.0795
0,RC,27230794737124298876820389888,1.4315
0,RC,27273715564844399337593110528,0.8465
0,RC,27279284415189799731866894336,0.676
0,RC,27282162943689500252979593216,0.8425
0,RC,27287233128429601461159067648,0.975
0,RC,27306015921498600605168435200,0.841
0,RC,27320910471160500814497185792,1.217
0,RC,27335850354607998264196202496,0.9359999999999999
0,RC,27350713958336398107793686528,0.684
0,RC,27355415798764798596916183040,1.013
0,RC,27369868183758299887841574912,1.5955
0,RC,27381320345345000876135153664,1.106
0,RC,27387530559019400228669227008,0.9994999999999999
0,RC,27404652104631499703583768576,1.2349999999999999
0,RC,27421950785719698106301284352,1.3865
0,RC,27429222454408300528333225984,1.3925
0,RC,27438527733092302104878383104,1.3485
0,RC,27449760360904098431966904320,0.9875
0,RC,27469026706412599088437526528,0.8194999999999999
0,RC,27479702827043701176510971904,0.8855
0,RC,27481678539080401560075763712,1.2839999999999998
0,RC,27482566193851898581212987392,0.8180000000000001
0,RC,27497002308280701525401010176,0.8334999999999999
0,RC,27501412217703401346585067520,0.4955
0,RC,27503703362691802009450840064,0.944
0,RC,27518325231410602103676076032,0.835
0,RC,27519571107968500847087714304,1.045
0,RC,27524728845817101505150320640,0.966
0,RC,27530450138461199990511370240,0.9159999999999999
0,RC,27533706077622001536161808384,1.439
0,RC,27537170155238500498690539520,0.991
0,RC,27556671135765602153000861696,0.686
0,RC,27578242769362199298271346688,0.531
0,RC,27578416189980101236225998848,0.9655
0,RC,27580653705851598942511300608,0.9935
0,RC,27587722610789401591415832576,1.3145
0,RC,27605579435025700199942062080,1.2025000000000001
0,RC,27605683122619600603470364672,1.3795000000000002
0,RC,27634092804688801965973438464,1.1395
0,RC,27638572474440898231075340288,0.8725
0,RC,27639130259364798378440392704,1.149
0,RC,27639549765615999452532703232,1.1025
0,RC,27642433526670298393027280896,0.9285
0,RC,27643984788233799229887217664,0.375
0,RC,27650124595172199819691163648,0.8325
0,RC,27650138561942798084769579008,1.099
0,RC,27653678189607399642273677312,0.651
0,RC,27653720788186197820841132032,0.741
0,RC,27658372674050500867567648768,1.395
0,RC,27661466744572101966509899776,0.63
0,RC,27663116287869301475323674624,1.0885
0,RC,27667559451466400600577540096,0.659
0,RC,27669788647510498268640444416,0.96
0,RC,27671317384829901733485346816,0.6910000000000001
0,RC,27672556124169400692682784768,0.864
0,RC,27675546841210401232110223360,0.6525000000000001
0,RC,27677150685449898723693821952,0.836
0,RC,27678813024368299009468530688,0.935
0,RC,27686613733396300934810697728,1.1415
0,RC,27689824145132598211064627200,1.0430000000000001
0,RC,27689888035844602059303157760,0.8945000000000001
0,RC,27689909284486897971178242048,0.6445000000000001
0,RC,27690505746602200584236826624,1.0835
0,RC,27691964717765600820462616576,0.5549999999999999
0,RC,27694586807375599892791558144,1.2785
0,RC,27695237633725600757652127744,1.216
0,RC,27698065395035399024891920384,0.8154999999999999
0,RC,27699289490324901830015844352,0.4495
0,RC,27700686567580999179766333440,0.739
0,RC,27700825678441099152232284160,1.626
0,RC,27701478200288299719306772480,0.9805
0,RC,27704523298118900887261806592,0.5505
0,RC,27709014681408300044550930432,0.9325
0,RC,27710486952323798253963313152,0.828
0,RC,27711205653626301494681665536,0.7545
